index,order_id,cust_id,gender,age,age_group,date,month,status,channel_,sku,category,size,qty,amount,state,ship_postal_code,b2b,year,day
85.0,404-0105497-2446747,105497.0,Women,37.0,Adult,2022-04-12,4,Refunded,Amazon,JNE3373-KR-S,kurta,S,1.0,382.0,MAHARASHTRA,441701.0,False,2022,12
86.0,406-6468339-1490707,6468339.0,Men,19.0,Teenager,2022-04-12,4,Delivered,Amazon,SET377-KR-NP-XS,Set,XS,1.0,1036.0,MAHARASHTRA,400093.0,False,2022,12
87.0,402-6702100-7257107,6702100.0,Women,49.0,Adult,2022-04-12,4,Returned,Myntra,JNE3620-KR-S,kurta,S,1.0,322.0,DELHI,110084.0,False,2022,12
88.0,404-6243782-8199521,6243782.0,Women,33.0,Adult,2022-04-12,4,Delivered,Amazon,JNE3822-KR-L,kurta,L,1.0,449.0,KARNATAKA,581320.0,False,2022,12
89.0,403-3641651-0348348,3641651.0,Men,22.0,Teenager,2022-04-12,4,Delivered,Amazon,SET184-KR-PP-L,Set,L,1.0,573.0,MAHARASHTRA,400098.0,False,2022,12
90.0,402-7662369-2719545,7662369.0,Women,18.0,Teenager,2022-04-12,4,Delivered,Myntra,SET366-KR-NP-S,Set,S,1.0,1163.0,JHARKHAND,834008.0,False,2022,12
91.0,403-8575376-3341124,8575376.0,Women,32.0,Adult,2022-04-12,4,Delivered,Flipkart,SET253-KR-NP-L,Set,L,1.0,737.0,TELANGANA,500020.0,False,2022,12
92.0,403-7384618-1017125,7384618.0,Women,48.0,Adult,2022-04-12,4,Delivered,Flipkart,SET203-KR-DPT-L,Set,L,1.0,429.0,TAMIL NADU,600051.0,False,2022,12
93.0,403-7384618-1017125,7384618.0,Women,36.0,Adult,2022-04-12,4,Delivered,Myntra,JNE3368-KR-XL,kurta,XL,1.0,471.0,ANDHRA PRADESH,530003.0,False,2022,12
94.0,403-3542194-2527546,3542194.0,Women,20.0,Teenager,2022-04-12,4,Delivered,Amazon,SAR028,Saree,Free,1.0,307.0,KERALA,673524.0,False,2022,12
95.0,405-6859790-7125127,6859790.0,Women,48.0,Adult,2022-04-12,4,Delivered,Meesho,SET024-KR-SP-A-M,kurta,M,1.0,631.0,HARYANA,122002.0,False,2022,12
96.0,403-0347306-1283554,347306.0,Women,66.0,Senior,2022-04-12,4,Delivered,Amazon,JNE3794-KR-M,kurta,M,1.0,517.0,TELANGANA,500090.0,False,2022,12
97.0,406-7048232-6973930,7048232.0,Women,60.0,Senior,2022-04-12,4,Delivered,Myntra,JNE3781-KR-S,kurta,S,1.0,427.0,HIMACHAL PRADESH,177005.0,False,2022,12
98.0,404-5516090-4385135,5516090.0,Men,47.0,Adult,2022-04-12,4,Delivered,Others,J0338-DR-S,Western Dress,S,1.0,855.0,ODISHA,752069.0,False,2022,12
99.0,403-0294848-6612317,294848.0,Women,19.0,Teenager,2022-04-12,4,Delivered,Flipkart,JNE3365-KR-1052-A-XXL,kurta,XXL,1.0,376.0,KARNATAKA,560075.0,False,2022,12
100.0,408-6522716-9753142,6522716.0,Men,48.0,Adult,2022-04-12,4,Delivered,Amazon,JNE3805-KR-L,kurta,L,1.0,487.0,KARNATAKA,562125.0,False,2022,12
101.0,408-6522716-9753142,6522716.0,Men,78.0,Senior,2022-04-12,4,Delivered,Myntra,SET319-KR-NP-M,Set,M,1.0,852.0,DELHI,110034.0,False,2022,12
102.0,408-3094141-6564325,3094141.0,Women,40.0,Adult,2022-04-12,4,Delivered,Amazon,JNE3466-KR-XXL,kurta,XXL,1.0,771.0,TAMIL NADU,620017.0,False,2022,12
103.0,405-8966819-1579535,8966819.0,Women,38.0,Adult,2022-04-12,4,Delivered,Flipkart,JNE3805-KR-M,kurta,M,1.0,487.0,TAMIL NADU,630108.0,False,2022,12
104.0,404-2716293-0209115,2716293.0,Women,21.0,Teenager,2022-04-12,4,Delivered,Amazon,MEN5019-KR-XL,kurta,XL,1.0,472.0,TELANGANA,500045.0,False,2022,12
105.0,403-9848998-6793100,9848998.0,Women,38.0,Adult,2022-04-12,4,Delivered,Amazon,SAR015,Saree,Free,1.0,790.0,RAJASTHAN,313001.0,False,2022,12
106.0,171-6592212-4665122,6592212.0,Women,25.0,Teenager,2022-04-12,4,Delivered,Amazon,JNE3794-KR-XS,kurta,XS,1.0,517.0,PUDUCHERRY,605004.0,False,2022,12
107.0,404-5467416-2849910,5467416.0,Women,35.0,Adult,2022-04-12,4,Delivered,Flipkart,SET135-KR-PP-XXXL,Set,3XL,1.0,646.0,UTTAR PRADESH,201310.0,False,2022,12
108.0,408-1265802-4542716,1265802.0,Women,23.0,Teenager,2022-04-12,4,Delivered,Amazon,J0338-DR-XL,Western Dress,XL,1.0,743.0,TELANGANA,500011.0,False,2022,12
109.0,171-9585512-1214755,9585512.0,Women,61.0,Senior,2022-04-12,4,Delivered,Myntra,JNE2251-KR-537-XXL,kurta,XXL,1.0,399.0,DELHI,110063.0,False,2022,12
110.0,405-6513430-0509918,6513430.0,Women,40.0,Adult,2022-04-12,4,Delivered,Flipkart,SET272-KR-PP-M,Set,M,1.0,852.0,UTTAR PRADESH,201306.0,False,2022,12
111.0,406-7694216-8034754,7694216.0,Men,32.0,Adult,2022-04-12,4,Delivered,Flipkart,SET197-KR-NP-M,Set,M,1.0,759.0,KARNATAKA,570034.0,False,2022,12
112.0,408-5911668-5550717,5911668.0,Women,31.0,Adult,2022-04-12,4,Delivered,Nalli,J0301-TP-XL,Top,XL,1.0,493.0,DELHI,110059.0,False,2022,12
113.0,404-5364170-6523532,5364170.0,Women,29.0,Teenager,2022-04-12,4,Delivered,Amazon,JNE3518-KR-XXL,kurta,XXL,1.0,458.0,RAJASTHAN,303002.0,False,2022,12
114.0,405-3614770-5449966,3614770.0,Women,27.0,Teenager,2022-04-12,4,Delivered,Amazon,JNE3405-KR-M,kurta,M,1.0,435.0,KARNATAKA,585401.0,False,2022,12
115.0,404-1246579-1197122,1246579.0,Women,48.0,Adult,2022-04-12,4,Delivered,Amazon,SET251-KR-PP-XS,Set,XS,1.0,759.0,UTTAR PRADESH,245201.0,False,2022,12
116.0,406-6695683-9996343,6695683.0,Men,30.0,Adult,2022-04-12,4,Cancelled,Myntra,SET282-KR-PP-L,Set,L,1.0,1043.0,MAHARASHTRA,400606.0,False,2022,12
117.0,404-1994186-3865941,1994186.0,Men,71.0,Senior,2022-04-12,4,Delivered,Myntra,SET268-KR-NP-M,Set,M,1.0,698.0,RAJASTHAN,313001.0,False,2022,12
118.0,404-0172471-1609129,172471.0,Women,41.0,Adult,2022-04-12,4,Delivered,Flipkart,JNE3648-TP-N-S,Top,S,1.0,518.0,GUJARAT,389151.0,False,2022,12
119.0,406-0681598-4591519,681598.0,Men,28.0,Teenager,2022-04-12,4,Delivered,Myntra,J0308-DR-XXL,Western Dress,XXL,1.0,625.0,WEST BENGAL,700124.0,False,2022,12
120.0,407-1388772-0703516,1388772.0,Women,19.0,Teenager,2022-04-12,4,Delivered,Flipkart,MEN5026-KR-XXXL,kurta,3XL,1.0,499.0,MADHYA PRADESH,452001.0,False,2022,12
121.0,408-3131740-5067529,3131740.0,Women,25.0,Teenager,2022-04-12,4,Delivered,Myntra,JNE3642-TP-XS,Top,XS,1.0,321.0,MAHARASHTRA,400053.0,False,2022,12
122.0,402-5496750-0331528,5496750.0,Women,57.0,Senior,2022-04-12,4,Delivered,Nalli,SET229-KR-PP-XS,Set,XS,1.0,845.0,RAJASTHAN,341305.0,False,2022,12
123.0,402-5496750-0331528,5496750.0,Women,73.0,Senior,2022-04-12,4,Delivered,Amazon,J0132-KR-XS,kurta,XS,1.0,358.0,DELHI,110085.0,False,2022,12
124.0,403-0816846-6852364,816846.0,Women,50.0,Adult,2022-04-12,4,Delivered,Flipkart,JNE1234-MULTI-KR-032-XL,kurta,XL,1.0,307.0,TAMIL NADU,641031.0,False,2022,12
125.0,408-0278400-0572330,278400.0,Women,31.0,Adult,2022-04-12,4,Delivered,Ajio,PJNE3068-KR-6XL,kurta,6XL,1.0,692.0,MAHARASHTRA,400701.0,False,2022,12
126.0,403-8079606-6799503,8079606.0,Men,33.0,Adult,2022-04-12,4,Delivered,Ajio,SET313-KR-NP-XS,Set,XS,1.0,1099.0,DELHI,110003.0,False,2022,12
127.0,171-4636514-5082740,4636514.0,Women,31.0,Adult,2022-04-12,4,Delivered,Myntra,SET282-KR-PP-M,Set,M,1.0,1033.0,WEST BENGAL,700124.0,False,2022,12
128.0,406-9847734-4402766,9847734.0,Women,44.0,Adult,2022-04-12,4,Delivered,Myntra,JNE1525-KR-UDF19BLACK-XS,kurta,XS,1.0,301.0,TAMIL NADU,641027.0,False,2022,12
129.0,403-8860022-0290733,8860022.0,Women,26.0,Teenager,2022-04-12,4,Delivered,Myntra,JNE3691-TU-L,Top,L,1.0,625.0,JHARKHAND,834002.0,False,2022,12
130.0,408-1669205-3638714,1669205.0,Women,25.0,Teenager,2022-04-12,4,Delivered,Myntra,JNE3399-KR-M,kurta,M,1.0,435.0,TELANGANA,502001.0,False,2022,12
131.0,406-6737238-3993139,6737238.0,Women,49.0,Adult,2022-04-12,4,Delivered,Amazon,JNE3790-KR-XXXL,kurta,3XL,1.0,307.0,MAHARASHTRA,411041.0,False,2022,12
132.0,402-9605076-2885164,9605076.0,Men,59.0,Senior,2022-04-12,4,Delivered,Amazon,SET268-KR-NP-L,Set,L,1.0,788.0,BIHAR,802133.0,False,2022,12
133.0,406-9542566-5579564,9542566.0,Women,21.0,Teenager,2022-04-12,4,Delivered,Amazon,SET393-KR-NP-M,Set,M,1.0,999.0,KERALA,678623.0,False,2022,12
134.0,408-1540604-8952365,1540604.0,Women,31.0,Adult,2022-04-12,4,Delivered,Amazon,J0329-KR-XS,kurta,XS,1.0,852.0,TELANGANA,508126.0,False,2022,12
135.0,405-9367631-7902714,9367631.0,Women,34.0,Adult,2022-04-12,4,Delivered,Amazon,SET397-KR-NP  -M,Set,M,1.0,999.0,UTTAR PRADESH,211002.0,False,2022,12
136.0,403-0595996-9383507,595996.0,Men,72.0,Senior,2022-04-12,4,Delivered,Amazon,J0008-SKD-M,Set,M,1.0,1075.0,DADRA AND NAGAR,362520.0,False,2022,12
137.0,407-8256896-7645127,8256896.0,Men,22.0,Teenager,2022-04-12,4,Delivered,Amazon,SET320-KR-NP-S,Set,S,1.0,845.0,BIHAR,801505.0,False,2022,12
138.0,407-1064158-5677135,1064158.0,Men,35.0,Adult,2022-04-12,4,Delivered,Myntra,J0003-SET-S,Set,S,1.0,664.0,TELANGANA,501509.0,False,2022,12
139.0,407-2727693-8699567,2727693.0,Women,31.0,Adult,2022-04-12,4,Delivered,Flipkart,SET304-KR-DPT-M,Set,M,1.0,1186.0,KERALA,670304.0,False,2022,12
140.0,171-6844452-3288337,6844452.0,Men,34.0,Adult,2022-04-12,4,Returned,Meesho,J0382-SKD-XXL,Set,XXL,1.0,1258.0,ANDAMAN & NICOBAR ,744103.0,False,2022,12
141.0,171-6908439-1987505,6908439.0,Women,46.0,Adult,2022-04-12,4,Refunded,Amazon,JNE3405-KR-XXL,kurta,XXL,1.0,399.0,UTTAR PRADESH,251001.0,False,2022,12
142.0,406-9626742-4153157,9626742.0,Men,63.0,Senior,2022-04-12,4,Delivered,Amazon,JNE3797-KR-A-M,Western Dress,M,1.0,771.0,MAHARASHTRA,423104.0,False,2022,12
143.0,403-9383537-0791567,9383537.0,Women,33.0,Adult,2022-04-12,4,Delivered,Amazon,JNE3611-KR-XXL,kurta,XXL,1.0,459.0,TELANGANA,508213.0,False,2022,12
